QN number,Questions,English translation,Right answer,area
papa_mkali,"Papa gani ni mkali, nyambrani(A) au charawanzi(B)?","Which shark is dangerous, nyambrani(A) or charawanzi(B)?",B,fishing
pelele_panda,Pelele anakaa chini tu(A) au anapanda miti pia(B)?,Do hyraxes stay on the floor only(A) or climb trees as well(B)?,B,forest
pelele_vidole,Pelele hana vidole(A) au ana vidole vitatu(B) ?,Hyraxes have no fingers(A) or have three fingers(B)?,B,forest
pomboo,Watoto wa pomboo wananyonya. Kweli(A) au sio kweli(B).,The offspring of dolphins drink milk. True(A) or false(B).,A,fishing
popo_masikio,"Popo gani anatumia masikio kwa kuruka, popo kubwa(A) au popo mgomba(B)?","Which bat uses its ears to fly, flying fox(A) or banana bat(B)?",B,forest
popo_mayai,Popo anataga mayai (A) au anazaa(B)?,Do bats make eggs(A) or give birth(B)?,B,forest
popo_uchafu,Popo anatoa uchafu kupitia njia ya mdomu. Kweli(A) au sio kweli(B).,Bats produce excrements out of their mouth. True(A) or false(B)?,B,forest
pweza,Pweza anauliwa kwa bunduzi(A) au nyavu(B)?,The octopus is fished with fishing spears(A) or with nets(B)?,A,fishing
salile,Salile anataga msimu wa mvuli(A) au masika(B)?,Ducks lay eggs in the short(A) or long(B) rainy season?,B,forest
taa,Taa analala katikati macheme(A) au sehemu ya topetope(B)?,Rays sleep between the corals(A) or in the muddy patches(B)?,B,fishing
ukukwi,Ukukwi ni hatari. Kweli(A) au sio kweli(B).,Green spotted snakes are dangerous. True (A) or false(B).,B,forest
ulaya,Miti ulaya anakua katika mpaka ya msitu (A) au kituo ya msitu(B) ?,The mti ya ulaya tree grows in the forest border(A) or in its center(B)?,A,forest
viazi,"Baada ya kupanda viazi, unasubiri miezi miwili(A) au minne(B) kwa kuvila?","After planting sweet potatoes, two(A) or four months(B) are needed before harvesting?",B,farming
vijinu,Vijinu vina sumu. Kweli(A) au sio kweli(B).,Cone shells have venom. True(A) or false(B).,A,shell
